1205.2,297.86,3379.6,323.35,12.114,200,30,136.88
1610.6,112.94,2470.5,367.93,9.8709,190,30,135.93
251.28,285.97,2717.5,358.89,9.0736,190,45,214.33
749.19,39.433,6888.1,339.29,17.76,210,45,173.97
1105.3,92.736,7151.5,316.36,17.263,200,45,154.63
1127.3,273.54,3194.7,360.15,1.5458,190,30,138.43
1883.5,148.74,2034.6,327.84,13.851,190,45,181.59
604.99,188.36,1472.2,357.26,17.464,200,30,160.65
1579.2,259.76,4987,317.31,4.2924,210,30,119.08
634.67,257.73,6517.5,322.11,11.799,210,45,182.17
238.35,112.85,6471.4,343.22,19.732,210,45,207.59
1454.1,45.82,2822,369.36,10.847,190,30,135.16
835.75,73.149,6763.9,366.01,11.017,200,45,168.99
402.49,282.67,5542.8,359.53,4.9284,210,45,200.21
1833.1,214.15,3836.8,341.81,3.9543,190,30,120.13
1777.2,59.537,5743.5,353.96,5.7378,200,45,143.19
1436.1,63.62,7669,345.49,6.8553,190,45,138.4
440.74,221.52,7805.4,343.03,6.6052,210,30,142.58
1195.4,224.46,2085.6,363.16,4.1783,200,45,195.81
1033.5,276.07,6674.2,327.63,0.9304,200,30,122.5
206.63,273.17,7343.7,336.5,11.522,210,45,207.96
664.6,246.4,4249.8,360.04,0.38398,210,45,194.7
777.24,203.27,1557.4,369.44,8.5089,190,30,155.97
597.59,57.945,5042.8,357.41,19.781,200,30,143.76
1336.9,130.93,2213.6,347.31,19.886,210,45,192.72
1570,97.668,1749.6,366.15,11.048,200,30,145.71
1553.4,83.522,4672,326.29,17.733,200,30,120.25
629.8,147.46,2211.5,372.84,15.815,190,30,154.38
1277.8,94.697,8194.2,318.7,12.591,210,45,142.86
1418.1,101.85,2459.7,373.11,11.516,200,30,140.63
393.21,147.68,2597.9,372.23,13.234,190,45,210.03
251.28,285.97,2717.5,358.89,9.0736,210,30,164.55
905.42,277.08,4884.9,349.7,3.3327,200,45,178.48
695.66,298.58,6863.6,318.75,10.786,200,45,175.46
1348,130.51,1091.3,362.07,12.029,190,30,153.76
1802.6,75.075,6579.9,342.73,7.3327,190,30,102.69
776.14,174.43,6480.3,369.6,2.7102,190,45,172.38
424.85,216.52,5579.1,362.3,5.6122,190,30,146.71
1885.6,192.84,4871.8,316.16,4.7863,190,30,111.46
1093.6,286.73,3658,317.34,12.51,210,45,183.32
1833.1,214.15,3836.8,341.81,3.9543,210,45,161.51
1415.4,284.03,4019,345.63,3.2304,190,45,167.59
325.62,238.79,3105.6,368.53,9.0478,210,45,214.08
1271.4,214.95,4064.6,368.08,2.3078,210,45,174.3
1419.1,30.645,8643.8,344.9,7.0657,200,30,102.6
1759.8,175.99,3170.3,323.33,14.312,200,45,169.48
1922.3,187.75,2628.4,353.92,2.6651,190,45,172.19
1252.6,68.308,6470.6,365.55,4.4341,190,30,115.63
779.44,152.13,938.17,354.87,18.298,200,45,215.55
1313.2,31.373,5565.8,330.92,16.745,210,45,159.47
1412,138.75,8664.4,328.06,0.65014,190,45,135.69
1876.8,201.88,1658.7,330.9,9.0137,200,30,143.15
1975.3,234.23,4351.6,332.18,1.5416,190,30,114.01
1534.9,76.792,7910.3,334.72,8.6407,210,45,135.85
533.13,106.08,6657.5,362.03,11.704,210,30,141.81
1341.6,180.41,1238.5,365.29,8.0165,210,30,155.89
311.92,99.234,6474.4,366.75,8.6121,190,30,149.33
1109.4,292.37,979.5,350.56,6.3877,200,30,158.95
534.34,165.59,2763.2,349.19,19.983,190,30,153.63
